Code,Airport
AAA,Anaa Airport
AAB,Arrabury Airport
AAC,El Arish International Airport
AAD,Adado Airport
AAE,Rabah Bitat Airport
AAF,Apalachicola Regional Airport
AAG,Arapoti Airport
AAH,Aachen-Merzbr?¬ck Airport
AAI,Arraias Airport
AAJ,Cayana Airstrip
AAK,Buariki Airport
AAL,Aalborg Airport
AAM,Malamala Airport
AAN,Al Ain International Airport
AAO,Anaco Airport
AAP,Andrau Airpark
AAQ,Anapa Vityazevo Airport
AAR,Aarhus Airport
AAS,Apalapsili Airport
AAT,Altay Air Base
AAU,Asau Airport
AAV,Allah Valley Airport
AAX,Romeu Zema Airport
AAY,Al Ghaidah International Airport
AAZ,Quezaltenango Airport
ABA,Abakan Airport
ABB,Asaba International Airport
ABC,Albacete-Los Llanos Airport
ABD,Abadan Airport
ABE,Lehigh Valley International Airport
ABF,Abaiang Airport
ABG,Abingdon Downs Airport
ABH,Alpha Airport
ABI,Abilene Regional Airport
ABJ,Port Bouet Airport
ABK,Kabri Dehar Airport
ABL,Ambler Airport
ABM,Northern Peninsula Airport
ABN,Albina Airport
ABO,Aboisso Airport
ABP,Atkamba Airport
ABQ,Albuquerque International Sunport
ABR,Aberdeen Regional Airport
ABS,Abu Simbel Airport
ABT,Al Baha Airport
ABU,Haliwen Airport
ABV,Nnamdi Azikiwe International Airport
ABW,Abau Airport
ABX,Albury Airport
ABY,Southwest Georgia Regional Airport
ABZ,Aberdeen Dyce Airport
ACA,General Juan N Alvarez International Airport
ACB,Antrim County Airport
ACC,Kotoka International Airport
ACD,Alcides Fern?­ndez Airport
ACE,Lanzarote Airport
ACF,Brisbane Archerfield Airport
ACH,St Gallen Altenrhein Airport
ACI,Alderney Airport
ACJ,Anuradhapura Air Force Base
ACK,Nantucket Memorial Airport
ACL,Aguaclara Airport
ACM,Arica Airport
ACN,Ciudad Acu?ña New International Airport
ACO,Ascona Airport
ACP,Sahand Airport
ACR,Araracuara Airport
ACS,Achinsk Airport
ACT,Waco Regional Airport
ACU,Achutupo Airport
ACV,California Redwood Coast-Humboldt County Airport
ACX,Xingyi Airport
ACY,Atlantic City International Airport
ACZ,Zabol Airport
ADA,Adana Airport
ADB,Adnan Menderes International Airport
ADC,Andakombe Airport
ADD,Addis Ababa Bole International Airport
ADE,Aden International Airport
ADF,AdŽñyaman Airport
ADG,Lenawee County Airport
ADH,Aldan Airport
ADI,Arandis Airport
ADJ,Amman-Marka International Airport
ADK,Adak Airport
ADL,Adelaide International Airport
ADM,Ardmore Municipal Airport
ADN,Andes Airport
ADO,Andamooka Airport
ADP,Ampara Airport
ADQ,Kodiak Airport
ADR,Robert F Swinnie Airport
ADS,Addison Airport
ADT,Ada Regional Airport
ADU,Ardabil Airport
ADV,El Daein Airport
ADW,Joint Base Andrews
ADX,RAF Leuchars
ADY,Alldays Airport
ADZ,Gustavo Rojas Pinilla International Airport
AEA,Abemama Atoll Airport
AEB,Baise Youjiang Airport
AEE,Adareil Airport
AEG,Aek Godang Airport
AEH,Abeche Airport
AEI,Algeciras Heliport
AEK,Aseki Airport
AEL,Albert Lea Municipal Airport
AEM,Amgu Airport
AEO,Aioun el Atrouss Airport
AEP,Jorge Newbery Airpark
AEQ,Ar Horqin Airport
AER,Sochi International Airport
AES,??lesund Airport
AET,Allakaket Airport
AEU,Abu Musa Island Airport
AEX,Alexandria International Airport
AEY,Akureyri Airport
AFA,Suboficial Ay Santiago Germano Airport
AFD,Port Alfred Airport
AFF,USAF Academy Airfield
AFI,Amalfi Airport
AFK,Kondavattavana Tank Seaplane Base
AFL,Piloto Osvaldo Marques Dias Airport
AFN,Jaffrey Airport Silver Ranch Airport
AFO,Afton Municipal Airport
AFR,Afore Airstrip
AFS,Sugraly Airport
AFT,Afutara Aerodrome
AFW,Fort Worth Alliance Airport
AFY,Afyon Airport
AFZ,Sabzevar National Airport
AGA,Al Massira Airport
AGB,Augsburg Airport
AGC,Allegheny County Airport
AGD,Anggi Airport
AGE,Wangerooge Airport
AGF,Agen-La Garenne Airport
AGG,Angoram Airport
AGH,??ngelholm-Helsingborg Airport
AGI,Wageningen Airstrip
AGJ,Aguni Airport
AGK,Kagua Airport
AGL,Wanigela Airport
AGN,Angoon Seaplane Base
AGO,Ralph C Weiser Field
AGP,M?­laga Airport
AGQ,Agrinion Air Base
AGR,Agra Airport
AGS,Augusta Regional At Bush Field
AGT,Guarani International Airport
AGU,Jes?§s Ter?­n Paredo International Airport
AGV,Oswaldo Guevara Mujica Airport
AGW,Agnew Airport
AGX,Agatti Airport
AGY,Argyle Downs Airport
AGZ,Aggeneys Airport
AHB,Abha Regional Airport
AHC,Amedee Army Air Field
AHD,Ardmore Downtown Executive Airport
AHE,Ahe Airport
AHF,Arapahoe Municipal Airport
AHH,Amery Municipal Airport
AHI,Amahai Airport
AHJ,Hongyuan Airport
AHL,Aishalton Airport
AHM,Ashland Municipal Sumner Parker Field
AHN,Athens Ben Epps Airport
AHO,Alghero-Fertilia Airport
AHS,Ahuas Airport
AHT,Amchitka Army Airfield
AHT,Amchitka Army Airfield
AHU,Cherif Al Idrissi Airport
AHY,Ambatolhy Airport
AHZ,Altiport L'Alpe d'Huez - Henri GIRAUD
AIA,Alliance Municipal Airport
AIC,Ailinglaplap Airok Airport
AID,Anderson Municipal Darlington Field
AIE,Aiome Airport
AIF,Marcelo Pires Halzhausen Airport
AIG,Yalinga Airport
AIH,Aiambak Airport
AII,Ali-Sabieh Airport
AIK,Aiken Regional Airport
AIL,Alligandi Airport
AIM,Ailuk Airport
AIN,Wainwright Airport
AIO,Atlantic Municipal Airport
AIP,Adampur Airport
AIR,Aripuan?œ Airport
AIS,Arorae Island Airport
AIT,Aitutaki Airport
AIU,Enua Airport
AIV,George Downer Airport
AIW,Ai-Ais Airport
AIY,Atlantic City Municipal Bader Field
AIZ,Lee C Fine Memorial Airport
AJA,Ajaccio-Napol??on Bonaparte Airport
AJF,Al-Jawf Domestic Airport
AJI,AŽ?rŽñ Airport
AJJ,Akjoujt Airport
AJK,Arak Airport
AJL,Lengpui Airport
AJN,Ouani Airport
AJR,Arvidsjaur Airport
AJS,Abreojos Airport
AJU,Santa Maria Airport
AJY,Mano Dayak International Airport
AKA,Ankang Wulipu Airport
AKB,Atka Airport
AKC,Akron Fulton International Airport
